Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 3.200553, 6.083300, 0.000230, 0.009212, 0.184237, 3.684749, 0.000133, 
50, 3.201287, 6.083300, 0.000965, 0.014685, 0.109465, -1.495454, 0.000773, 
50, 3.202755, 6.083302, 0.002433, 0.029362, 0.293547, 3.681652, 0.002054, 
50, 3.204957, 6.083309, 0.004634, 0.044024, 0.293239, -0.006176, 0.003980, 
50, 3.207890, 6.083325, 0.007567, 0.058663, 0.292778, -0.009216, 0.006553, 
50, 3.211553, 6.083354, 0.011231, 0.073272, 0.292168, -0.012198, 0.009779, 
50, 3.215945, 6.083406, 0.015623, 0.087842, 0.291413, -0.015094, 0.013664, 
50, 3.221063, 6.083487, 0.020741, 0.102368, 0.290519, -0.017880, 0.018217, 
50, 3.226904, 6.083609, 0.026583, 0.116843, 0.289493, -0.020519, 0.023446, 
50, 3.233464, 6.083782, 0.033146, 0.131260, 0.288344, -0.022978, 0.029361, 
50, 3.240741, 6.084020, 0.040427, 0.145614, 0.287084, -0.025204, 0.035972, 
50, 3.248730, 6.084337, 0.048422, 0.159901, 0.285727, -0.027146, 0.043291, 
50, 3.257426, 6.084749, 0.057128, 0.174115, 0.284290, -0.028741, 0.051331, 
50, 3.266824, 6.085273, 0.066541, 0.188255, 0.282794, -0.029913, 0.060105, 
50, 3.276919, 6.085928, 0.076657, 0.202318, 0.281265, -0.030578, 0.069624, 
50, 3.287704, 6.086736, 0.087472, 0.216305, 0.279733, -0.030639, 0.079903, 
50, 3.299173, 6.087718, 0.098983, 0.230217, 0.278234, -0.029984, 0.090955, 
50, 3.311318, 6.088898, 0.111185, 0.244057, 0.276809, -0.028497, 0.102791, 
50, 3.324133, 6.090302, 0.124077, 0.257832, 0.275507, -0.026040, 0.115422, 
50, 3.337610, 6.091956, 0.137655, 0.271552, 0.274383, -0.022480, 0.128859, 
50, 3.351739, 6.093889, 0.151916, 0.285227, 0.273500, -0.017665, 0.143108, 
50, 3.366514, 6.096132, 0.166860, 0.298873, 0.272927, -0.011456, 0.158176, 
50, 3.381924, 6.098715, 0.182485, 0.312510, 0.272742, -0.003712, 0.174062, 
50, 3.397962, 6.101673, 0.198793, 0.326161, 0.273026, 0.005685, 0.190766, 
50, 3.414617, 6.105041, 0.215786, 0.339855, 0.273868, 0.016833, 0.208279, 
