Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 3.000174, 6.292100, 0.000204, 0.008156, 0.163121, 3.262411, 0.000000, 
50, 3.000990, 6.292100, 0.001020, 0.016312, 0.163121, 0.000000, 0.000000, 
50, 3.002621, 6.292100, 0.002651, 0.032624, 0.326241, 3.262411, 0.000000, 
50, 3.005068, 6.292100, 0.005098, 0.048936, 0.326241, 0.000000, 0.000000, 
50, 3.008330, 6.292100, 0.008360, 0.065248, 0.326241, -0.000000, 0.000000, 
50, 3.012408, 6.292100, 0.012438, 0.081560, 0.326241, -0.000000, 0.000000, 
50, 3.017302, 6.292100, 0.017332, 0.097872, 0.326241, 0.000000, 0.000000, 
50, 3.023011, 6.292100, 0.023041, 0.114184, 0.326241, -0.000000, 0.000000, 
50, 3.029536, 6.292100, 0.029566, 0.130496, 0.326241, -0.000000, 0.000000, 
50, 3.036876, 6.292100, 0.036906, 0.146809, 0.326241, 0.000000, 0.000000, 
50, 3.045032, 6.292100, 0.045062, 0.163121, 0.326241, -0.000000, 0.000000, 
50, 3.054004, 6.292100, 0.054034, 0.179433, 0.326241, 0.000000, 0.000000, 
50, 3.063791, 6.292100, 0.063821, 0.195745, 0.326241, -0.000000, 0.000000, 
50, 3.074394, 6.292100, 0.074424, 0.212057, 0.326241, 0.000000, 0.000000, 
50, 3.085812, 6.292100, 0.085842, 0.228369, 0.326241, -0.000000, 0.000000, 
50, 3.098046, 6.292100, 0.098076, 0.244681, 0.326241, -0.000000, 0.000000, 
50, 3.111096, 6.292100, 0.111126, 0.260993, 0.326241, -0.000000, 0.000000, 
50, 3.124961, 6.292100, 0.124991, 0.277305, 0.326241, 0.000000, 0.000000, 
50, 3.139642, 6.292100, 0.139672, 0.293617, 0.326241, -0.000000, 0.000000, 
50, 3.155138, 6.292100, 0.155168, 0.309929, 0.326241, 0.000000, 0.000000, 
50, 3.171450, 6.292100, 0.171480, 0.326241, 0.326241, 0.000000, 0.000000, 
50, 3.188578, 6.292100, 0.188608, 0.342553, 0.326241, 0.000000, 0.000000, 
50, 3.206521, 6.292100, 0.206551, 0.358865, 0.326241, 0.000000, 0.000000, 
50, 3.225280, 6.292100, 0.225310, 0.375177, 0.326241, -0.000000, 0.000000, 
50, 3.244855, 6.292100, 0.244885, 0.391489, 0.326241, -0.000000, 0.000000, 
50, 3.265245, 6.292100, 0.265275, 0.407801, 0.326241, 0.000000, 0.000000, 
50, 3.286450, 6.292100, 0.286480, 0.424113, 0.326241, -0.000000, 0.000000, 
50, 3.308472, 6.292100, 0.308502, 0.440426, 0.326241, 0.000000, 0.000000, 
50, 3.331309, 6.292100, 0.331339, 0.456738, 0.326241, -0.000000, 0.000000, 
50, 3.354961, 6.292100, 0.354991, 0.473050, 0.326241, 0.000000, 0.000000, 
50, 3.379429, 6.292100, 0.379459, 0.489362, 0.326241, -0.000000, 0.000000, 
50, 3.404713, 6.292100, 0.404743, 0.505674, 0.326241, -0.000000, 0.000000, 
50, 3.430812, 6.292100, 0.430842, 0.521986, 0.326241, 0.000000, 0.000000, 
50, 3.457727, 6.292100, 0.457757, 0.538298, 0.326241, 0.000000, 0.000000, 
50, 3.485458, 6.292100, 0.485488, 0.554610, 0.326241, -0.000000, 0.000000, 
50, 3.514004, 6.292100, 0.514034, 0.570922, 0.326241, 0.000000, 0.000000, 
50, 3.543365, 6.292100, 0.543395, 0.587234, 0.326241, 0.000000, 0.000000, 
50, 3.573543, 6.292100, 0.573573, 0.603546, 0.326241, -0.000000, 0.000000, 
50, 3.604536, 6.292100, 0.604566, 0.619858, 0.326241, 0.000000, 0.000000, 
50, 3.636344, 6.292100, 0.636374, 0.636170, 0.326241, 0.000000, 0.000000, 
50, 3.668968, 6.292100, 0.668998, 0.652482, 0.326241, -0.000000, 0.000000, 
50, 3.702408, 6.292100, 0.702438, 0.668794, 0.326241, 0.000000, 0.000000, 
50, 3.736663, 6.292100, 0.736693, 0.685106, 0.326241, 0.000000, 0.000000, 
50, 3.771734, 6.292100, 0.771764, 0.701418, 0.326241, -0.000000, 0.000000, 
50, 3.807621, 6.292100, 0.807651, 0.717730, 0.326241, 0.000000, 0.000000, 
50, 3.844323, 6.292100, 0.844353, 0.734043, 0.326241, -0.000000, 0.000000, 
50, 3.881841, 6.292100, 0.881871, 0.750355, 0.326241, -0.000000, 0.000000, 
50, 3.920174, 6.292100, 0.920204, 0.766667, 0.326241, 0.000000, 0.000000, 
50, 3.959323, 6.292100, 0.959353, 0.782979, 0.326241, -0.000000, 0.000000, 
50, 3.999287, 6.292100, 0.999317, 0.799291, 0.326241, 0.000000, 0.000000, 
50, 4.040067, 6.292100, 1.040097, 0.815603, 0.326241, 0.000000, 0.000000, 
50, 4.081663, 6.292100, 1.081693, 0.831915, 0.326241, 0.000000, 0.000000, 
